"fit.data.JPM","fit.data.WFC","fit.data.C","fit.data.USB","XLF.close"
41.16,33.970001,36.599998,33.150002,15.799999
41.68,33.689999,37.389999,33.209999,15.899998
42.84,34.060001,37.950001,33.66,16.1
42.419998,33.740002,37.599998,33.43,16
42.27,34.02,37.32,33.139999,15.97
42.880001,34.32,38.470001,33.59,16.149998
40.48,32.91,36.049999,32.389999,15.609999
40.400002,32.349998,36,32.169998,15.479999
40.619999,32.349998,35.93,32.099998,15.499999
40.580002,32.369999,36.419998,32.060001,15.529999
40.040001,32.02,36.16,31.709999,15.42
39.290001,31.43,35.02,31.33,15.149999
39.389999,31.57,35.209999,31.209999,15.18
39.529999,31.940001,34.98,31.549999,15.279999
40.59,32.400002,36.099998,32.080002,15.569999
40.700001,32.919998,36,32.25,15.649999
40.73,32.59,35.77,32.049999,15.649999
41.09,33.200001,36.029999,32.580002,15.839999
40.880001,32.900002,35.57,32.380001,15.78
40.75,32.630001,35.040001,32.099998,15.64
40.830002,32.810001,35.07,32.389999,15.699999
41.220001,33.16,35.209999,32.400002,15.78
41.080002,33.009998,34.57,32.259998,15.76
40.810001,32.75,34.220001,32.049999,15.699999
40.57,32.740002,34.290001,31.43,15.66
41.200001,32.98,36.459999,31.76,15.85
41.470001,33.139999,37.02,31.809999,15.899998
42.560001,33.23,37.639999,32.02,16.03
42.310001,33.049999,37.189999,31.9,15.989999
42.639999,33.290001,37,31.969999,16.069999
42.77,33.5,37.529999,31.870001,16.139998
42.779999,33.259998,37.290001,31.57,16.059999
42.810001,33.150002,37.599998,31.4,16
43.48,34.380001,39.150002,32.09,16.329999
43.869999,34.959999,39.459999,32.57,16.569999
43.529999,34.619999,39.450001,32.200001,16.469999
44.529999,35.060001,40.169998,32.439999,16.7
44,34.48,39.490002,32.48,16.399999
43.919998,34.419998,39.380001,32.310001,16.37
43.959999,34.330002,39.549999,32.259998,16.37
43.630001,34.18,39.25,32.02,16.309999
43.240002,33.91,39.009998,31.68,16.179999
43.970001,34.18,39.560001,31.940001,16.389998
44.66,35.049999,41.25,32.970001,16.87
44.57,34.759998,41.389999,32.509998,16.85
45.360001,34.939999,42.43,33.220001,17.049999
45.41,34.77,42.470001,32.919998,17.009999
45.5,34.709999,42.459999,32.970001,16.959999
45.470001,34.709999,42.040001,33.27,16.94
46.150002,35.400002,42.830002,33.639999,17.149999
46.139999,35.099998,42.34,33.5,17.11
45.880001,34.77,42.220001,33.470001,17.059999
46.349998,35.110001,42.57,33.279999,17.129998
46.82,35.09,42.48,33.150002,17.139999
46.439999,35.029999,41.240002,32.759998,17.129998
46.459999,34.93,41.66,32.869999,17.149999
46.540001,35.040001,41.779999,33,17.309999
46.23,34.950001,42.02,33.09,17.299999
46.369999,35.16,42.799999,33.110001,17.389999
47.16,35.139999,42.91,33.169998,17.469998
46.639999,35.110001,42.34,33.169998,17.399999
47.119999,35.27,42.16,33.330002,17.469998
47.130001,34.970001,41.950001,33.139999,17.389999
47.049999,34.830002,42.16,33.099998,17.379998
47.849998,35.130001,43.02,33.400002,17.609999
47.68,34.759998,42.209999,32.959999,17.409999
48.790001,34.849998,42.919998,33.130001,17.58
48.610001,34.970001,43.049999,33.610001,17.609999
48.23,34.66,42.869999,33.540001,17.559999
48.630001,34.880001,42.68,33.650002,17.599999
48.66,35.259998,43.150002,34.09,17.68
49.139999,35.509998,44.349998,34.310001,17.819998
48.68,35.130001,44,33.93,17.78
49.220001,35.209999,44.32,33.990002,17.839999
48.880001,35.16,43.84,33.91,17.759999
49.450001,35.139999,44.5,34.080002,17.93
48.610001,35.099998,43.220001,33.849998,17.659999
48.25,35.459999,42.349998,33.77,17.52
48.91,35.82,42.790001,33.880001,17.739999
47.700001,34.790001,41.150002,33.34,17.259999
47.599998,34.75,41.290001,33.790001,17.35
49.279999,35.130001,42.16,34.029999,17.62
48.919998,35.080002,41.970001,33.98,17.59
48.91,35.389999,42.110001,34.009998,17.639999
49.099998,35.849998,42.939999,34.279999,17.79
49.490002,35.880001,43.599998,33.810001,17.94
50.029999,36.049999,44.580002,33.740002,18.059998
50.630001,36.419998,45,34.150002,18.19
50.200001,36.5,46.68,34.23,18.239999
50.48,37.130001,47.599998,34.41,18.379999
50.279999,36.66,46.950001,34.34,18.28
50.16,36.77,46.970001,34.220001,18.329999
51,36.970001,47.459999,34.060001,18.450001
50.02,38.200001,47.259998,34.220001,18.450001
49.509998,37.759998,46.240002,34.130001,18.27
49.200001,37.490002,45.790001,33.950001,18.17
49.119999,37.439999,46.09,33.93,18.29
48.349998,37.139999,45.23,33.549999,18.069998
48.779999,37.200001,45.23,33.57,18.18
48.52,37.209999,44.490002,33.669998,18.129999
48.639999,37.299999,44.830002,33.68,18.249999
47.77,36.98,44.459999,33.759998,18.159999
47.459999,36.990002,44.240002,33.93,18.209998
47.830002,36.93,43.790001,33.990002,18.12
48.279999,36.880001,44.110001,34.099998,18.229999
46.849998,36.669998,42.5,33.669998,17.93
47.490002,37.419998,42.77,33.82,18.089999
47.91,37.150002,43.009998,33.360001,18.03
48.580002,37.02,43.560001,33.689999,18.209998
48.68,37.450001,43.889999,33.689999,18.259999
49.25,37.57,45.060001,34.189999,18.51
49.310001,37.509998,44.869999,34.200001,18.549998
49.009998,37.209999,44.779999,34.080002,18.469998
47.93,36.57,44.869999,33.310001,18.079999
48.490002,37.060001,46.66,32.720001,18.36
46.790001,36.560001,45.740002,32.380001,18.02
46.639999,36.27,45.09,32.27,17.83
47.23,36.689999,45.029999,32.509998,18.079999
47.349998,36.73,45.150002,32.470001,18.099999
48.169998,37.130001,46.459999,32.82,18.43
48.720001,37.34,47.119999,33.150002,18.54
49,37.639999,47.110001,33.310001,18.649999
48.880001,37.880001,46.919998,33.130001,18.569999
48.919998,37.880001,46.82,33.290001,18.649999
49.009998,37.98,46.66,33.279999,18.7
48.009998,37.459999,45.869999,32.810001,18.489999
48.080002,37.41,46.540001,32.580002,18.649999
47.57,37.740002,46.970001,32.77,18.85
48.18,37.900002,47.48,32.889999,19.049998
49.139999,38.400002,48.110001,33.150002,19.149998
49.759998,38.450001,49.290001,33.330002,19.309999
49.040001,37.889999,48.599998,33.310001,19.169999
48.959999,38.029999,48.75,33.490002,19.25
49.669998,38.200001,48.919998,33.5,19.309999
50.23,38.759998,50.09,33.889999,19.639998
51.09,39.299999,51.34,34.34,19.819999
50.970001,39.259998,50.610001,34.310001,19.69
52.299999,39.880001,51.450001,34.669998,19.95
52.290001,40.200001,51.599998,35.130001,19.99
53.02,40.68,51.66,35.290001,20.039999
53.630001,40.099998,51,35.369999,19.829999
53.349998,40.009998,50.529999,35.220001,19.709998
53.66,40.240002,50.52,35.41,19.73
54.599998,40.52,51.790001,35.540001,19.93
54.669998,40.75,52.279999,35.330002,19.93
55.619999,41.25,53.27,35.529999,20.17
54.59,40.549999,51.990002,35.060001,19.839999
54.490002,40.73,51.959999,35.27,19.860001
54.040001,40.439999,51.23,35.259998,19.679999
53.029999,39.82,50.029999,35.009998,19.36
53.5,40.720001,50.830002,35.380001,19.629998
54.27,41.25,51.599998,35.869999,19.969997
54.360001,41.27,51.93,35.59,19.98
53.490002,40.66,49.950001,35.41,19.649998
53.18,40.27,49.439999,35.400002,19.44
54.169998,40.939999,50.290001,35.459999,19.809999
53.130001,40.16,49.220001,35.009998,19.549998
53.849998,40.610001,49.360001,35.23,19.74
54.110001,40.84,50.009998,35.349998,19.870001
53.549999,40.66,49.529999,35.189999,19.6
52.48,40.09,47.900002,35.060001,19.179999
51.959999,40.959999,46.869999,35.57,19.12
50.919998,39.799999,45.439999,35.389999,18.78
52.080002,40.299999,47,35.939999,19.129999
52.5,41.02,47.610001,35.93,19.319999
53.150002,41.560001,48.279999,36.139999,19.569999
52.790001,41.27,47.970001,36.150002,19.45
52.490002,41.360001,48.25,36.310001,19.51
52.799999,41.220001,48.150002,36.299999,19.529999
52.77,41.220001,47.669998,36.349998,19.469999
53.990002,42.07,48.529999,36.759998,19.819999
54.700001,42.830002,49.52,37.049999,19.969997
54.889999,42.700001,50.209999,37.290001,20.139998
54.830002,42.07,49.630001,37.07,20.019999
55.139999,41.889999,50.040001,37.150002,20.209997
54.970001,42.630001,50.810001,37.66,20.349998
54.889999,43.349998,51.810001,37.5,20.44
55.009998,43.02,51.830002,37.27,20.360001
55.27,43.509998,51.790001,36.740002,20.45
56.369999,44.41,52.689999,37.07,20.719999
56.16,44.450001,52.349998,37.259998,20.729999
56.560001,44.630001,53,37.349998,20.87
56.669998,44.57,52.880001,37.540001,20.790001
56.630001,44.310001,52.189999,37.540001,20.639998
56.5,43.650002,52.66,37.459999,20.66
56.049999,43.509998,52.209999,37.540001,20.639998
55.689999,43.25,51.639999,37.490002,20.489999
55.330002,43.259998,51.779999,37.700001,20.479999
55.73,43.5,52.139999,37.32,20.489999
56.540001,44.259998,52.860001,37.66,20.819998
56.490002,44.490002,53,37.77,20.809999
56.099998,44.34,52.869999,37.740002,20.769999
55.490002,44.029999,51.48,37.610001,20.579998
55.299999,43.27,51.5,37.209999,20.44
54.830002,43.220001,51.779999,37.349998,20.489999
54.52,43.23,51.32,37.169998,20.42
54.09,43.200001,50.900002,37.16,20.339998
54.290001,43.32,51.77,37.110001,20.44
54.150002,43.099998,51.59,36.970001,20.360001
53.290001,42.990002,50.860001,36.77,20.059999
53.290001,42.75,50.349998,36.919998,20.019999
51.830002,42.490002,49.330002,36.66,19.759999
52.119999,42.59,49.919998,36.860001,19.95
51.630001,42.360001,49.16,36.790001,19.809999
52.209999,42.48,49.91,37.400002,20.039999
52.32,42.759998,49.830002,37.32,20.059999
51.799999,42.389999,49.599998,36.919998,19.93
50.599998,41.110001,48.240002,36.110001,19.45
50.580002,41.25,48.310001,36.110001,19.479999
50.700001,41.25,48.470001,36.110001,19.529999
50.529999,41.080002,48.330002,36.130001,19.44
51.130001,41.389999,49.369999,36.060001,19.6
51.869999,41.5,49.599998,36.130001,19.75
52.110001,41.82,49.860001,36.700001,19.799999
52.560001,41.43,49.220001,36.470001,19.799999
52.860001,41.720001,50.09,36.32,20.029999
53.669998,42.450001,51.09,36.709999,20.269999
53.259998,42.5,50.73,36.68,20.289999
52.240002,42.259998,50.259998,36.869999,20.139998
52.59,42.189999,50.490002,37.139999,20.2
53.139999,42.889999,51,37.509998,20.42
53.09,42.849998,51.200001,37.52,20.519999
53.41,43.310001,52.209999,37.84,20.7
